#,Company,Symbol,Weight,Price,Chg,% Chg,Dividend
196,T-Mobile US Inc.,TMUS,0.11268,   98.73,-1.76,(-1.75%),0
197,ONEOK Inc.,OKE,0.112384,   77.52,0.77,-1.00%,0
198,AvalonBay Communities Inc.,AVB,0.112029,   226.42,0.62,-0.27%,0
199,TE Connectivity Ltd.,TEL,0.111884,   92.90,-0.48,(-0.51%),0
200,Ford Motor Company,F,0.111515,   8.04,0.04,-0.44%,0
201,Consolidated Edison Inc.,ED,0.111034,   94.12,0.24,-0.25%,0
202,Amphenol Corporation Class A,APH,0.108983,   103.42,0.31,-0.30%,0
203,McKesson Corporation,MCK,0.107958,   167.82,-0.19,(-0.11%),0
204,Eversource Energy,ES,0.107785,   95.43,1.13,-1.20%,0
205,Twitter Inc.,TWTR,0.106725,   38.54,-0.23,(-0.59%),0
206,Equity Residential,EQR,0.105924,   85.93,0.59,-0.69%,0
207,O'Reilly Automotive Inc.,ORLY,0.105725,   393.36,1.21,-0.31%,0
208,IQVIA Holdings Inc,IQV,0.105716,   162.75,-1.64,(-1.00%),0
209,Public Service Enterprise Group Inc,PEG,0.105402,   59.08,0.18,-0.31%,0
210,eBay Inc.,EBAY,0.102361,   37.43,-0.1,(-0.27%),0
211,State Street Corporation,STT,0.102148,   78.06,-0.7,(-0.89%),0
212,Paychex Inc.,PAYX,0.102086,   89.56,-0.55,(-0.61%),0
213,PPG Industries Inc.,PPG,0.100395,   118.98,-0.54,(-0.45%),0
214,FirstEnergy Corp.,FE,0.100265,   51.97,-0.19,(-0.35%),0
215,MSCI Inc. Class A,MSCI,0.099154,   321.18,-10.93,(-3.29%),0
216,Verisk Analytics Inc,VRSK,0.098562,   168.23,-1.51,(-0.89%),0
217,FleetCor Technologies Inc.,FLT,0.098261,   315.77,-5.34,(-1.66%),0
218,KLA Corporation,KLAC,0.098043,   168.66,-4.32,(-2.50%),0
219,Edison International,EIX,0.097723,   77.19,0.55,-0.72%,0
220,Digital Realty Trust Inc.,DLR,0.097452,   135.11,2.7,-2.04%,0
221,V.F. Corporation,VFC,0.097412,   83.48,0.08,-0.10%,0
222,Willis Towers Watson Public Limited Company,WLTW,0.096744,   209.23,-2.53,(-1.19%),0
223,Parker-Hannifin Corporation,PH,0.096636,   214.46,2.68,-1.27%,0
224,Southwest Airlines Co.,LUV,0.096479,   56.90,-0.21,(-0.37%),0
225,Monster Beverage Corporation,MNST,0.095368,   70.08,-0.01,(-0.01%),0
226,Entergy Corporation,ETR,0.094224,   131.38,-1.71,(-1.28%),0
227,Agilent Technologies Inc.,A,0.094046,   84.09,-1.27,(-1.48%),0
228,Microchip Technology Incorporated,MCHP,0.093611,   107.85,-1.98,(-1.80%),0
229,Realty Income Corporation,O,0.09261,   81.53,1.86,-2.33%,0
230,Williams Companies Inc.,WMB,0.092392,   22.06,0.51,-2.34%,0
231,DTE Energy Company,DTE,0.091875,   133.62,-0.45,(-0.34%),0
232,Cummins Inc.,CMI,0.091706,   168.14,0.3,-0.18%,0
233,PACCAR Inc,PCAR,0.090924,   75.27,1.04,-1.40%,0
234,AutoZone Inc.,AZO,0.090575,"   1,081.28",14.49,-1.36%,0
235,ANSYS Inc.,ANSS,0.090362,   292.16,-3.98,(-1.34%),0
236,PPL Corporation,PPL,0.090139,   35.41,0.31,-0.88%,0
237,Cintas Corporation,CTAS,0.089916,   297.44,-6.82,(-2.24%),0
238,Ball Corporation,BLL,0.089781,   76.45,-0.57,(-0.73%),0
239,ResMed Inc.,RMD,0.08962,   174.58,-2.04,(-1.16%),0
240,American Water Works Company Inc.,AWK,0.088882,   137.13,-1.57,(-1.13%),0
241,IDEXX Laboratories Inc.,IDXX,0.088777,   281.92,-9.05,(-3.11%),0
242,Synopsys Inc.,SNPS,0.087408,   153.05,-11.95,(-7.24%),0
243,Archer-Daniels-Midland Company,ADM,0.087274,   44.14,0.17,-0.39%,0
244,Stanley Black & Decker Inc.,SWK,0.086952,   162.05,0.26,-0.16%,0
245,Cerner Corporation,CERN,0.085938,   76.10,-0.67,(-0.87%),0
246,Hershey Company,HSY,0.085094,   159.37,-1.12,(-0.70%),0
247,Chipotle Mexican Grill Inc.,CMG,0.084721,   922.00,-11.84,(-1.27%),0
248,Discover Financial Services,DFS,0.084407,   75.45,-0.11,(-0.15%),0
249,Kroger Co.,KR,0.084011,   29.56,0.02,-0.07%,0
250,Corteva Inc,CTVA,0.083846,   31.74,0.22,-0.70%,0
251,Pioneer Natural Resources Company,PXD,0.083348,   141.97,0.8,-0.57%,0
252,Las Vegas Sands Corp.,LVS,0.083192,   67.37,-1.74,(-2.51%),0
253,Aptiv PLC,APTV,0.08272,   90.73,0.02,-0.02%,0
254,Rockwell Automation Inc.,ROK,0.082501,   204.03,3.67,-1.83%,0
255,Alexion Pharmaceuticals Inc.,ALXN,0.082061,   101.91,-1.3,(-1.26%),0
256,Xilinx Inc.,XLNX,0.081673,   89.72,-1,(-1.10%),0
257,Tyson Foods Inc. Class A,TSN,0.081651,   78.58,0.75,-0.96%,0
258,Ameriprise Financial Inc.,AMP,0.080895,   179.66,0.62,-0.35%,0
259,AMETEK Inc.,AME,0.080757,   100.34,0.17,-0.17%,0
260,Fortive Corp.,FTV,0.08066,   76.85,-0.01,(-0.01%),0
261,Weyerhaeuser Company,WY,0.080083,   30.82,0.45,-1.48%,0
262,Cadence Design Systems Inc.,CDNS,0.080011,   76.86,-3.16,(-3.96%),0
263,M&T Bank Corporation,MTB,0.079125,   169.11,0.85,-0.51%,0
264,VeriSign Inc.,VRSN,0.07858,   208.83,-2.4,(-1.14%),0
265,Northern Trust Corporation,NTRS,0.077844,   103.32,0.25,-0.24%,0
266,Ventas Inc.,VTR,0.077773,   61.92,2.77,-4.67%,0
267,Fastenal Company,FAST,0.077681,   38.84,0.55,-1.42%,0
268,Dollar Tree Inc.,DLTR,0.077484,   92.60,0.61,-0.66%,0
269,Corning Inc,GLW,0.076636,   27.93,-0.03,(-0.11%),0
270,Copart Inc.,CPRT,0.07624,   96.42,-8.09,(-7.74%),0
271,CBRE Group Inc. Class A,CBRE,0.075905,   63.70,0.3,-0.47%,0
272,Republic Services Inc.,RSG,0.075381,   98.86,-1.18,(-1.18%),0
273,LyondellBasell Industries NV,LYB,0.075299,   83.10,1.15,-1.40%,0
274,Fifth Third Bancorp,FITB,0.07501,   29.84,0.2,-0.67%,0
275,Essex Property Trust Inc.,ESS,0.074927,   324.80,3.17,-0.99%,0
276,Hartford Financial Services Group Inc.,HIG,0.074482,   57.73,-0.37,(-0.63%),0
277,Ameren Corporation,AEE,0.074392,   85.80,-0.09,(-0.10%),0
278,Boston Properties Inc.,BXP,0.074173,   146.32,1.42,-0.98%,0
279,D.R. Horton Inc.,DHI,0.073969,   61.98,0.1,-0.16%,0
280,Best Buy Co. Inc.,BBY,0.073804,   91.13,0.19,-0.21%,0
281,Clorox Company,CLX,0.073789,   164.11,-0.73,(-0.44%),0
282,Western Digital Corporation,WDC,0.072562,   68.58,-0.98,(-1.41%),0
283,Skyworks Solutions Inc.,SWKS,0.072339,   117.29,-1.85,(-1.55%),0
284,Align Technology Inc.,ALGN,0.071549,   270.63,-6.52,(-2.35%),0
285,Arthur J. Gallagher & Co.,AJG,0.071504,   107.39,-1.39,(-1.28%),0
286,McCormick & Company Incorporated,MKC,0.07122,   163.33,-0.7,(-0.43%),0
287,Synchrony Financial,SYF,0.070758,   33.63,0.26,-0.78%,0
288,CDW Corp.,CDW,0.070368,   137.37,0.74,-0.54%,0
289,Lennar Corporation Class A,LEN,0.070272,   70.75,0.31,-0.44%,0
290,First Republic Bank,FRC,0.070232,   117.62,0.35,-0.29%,0
291,Halliburton Company,HAL,0.069754,   22.05,-0.23,(-1.03%),0
292,Alexandria Real Estate Equities Inc.,ARE,0.069434,   168.89,-0.3,(-0.18%),0
293,Equifax Inc.,EFX,0.069292,   160.36,-1.53,(-0.94%),0
294,KeyCorp,KEY,0.069256,   19.95,0.22,-1.10%,0
295,CMS Energy Corporation,CMS,0.069134,   68.42,-0.07,(-0.09%),0
296,ViacomCBS Inc. Class B,VIAC,0.068249,   29.50,-6.17,(-17.30%),0
297,Royal Caribbean Cruises Ltd.,RCL,0.067475,   110.19,-0.82,(-0.74%),0
298,Hewlett Packard Enterprise Co.,HPE,0.067244,   14.55,0.08,-0.55%,0
299,Mettler-Toledo International Inc.,MTD,0.067037,   754.86,-11.53,(-1.50%),0
300,Laboratory Corporation of America Holdings,LH,0.066009,   189.70,-0.2,(-0.11%),0
301,Church & Dwight Co. Inc.,CHD,0.06598,   75.85,0.07,-0.09%,0
302,Keysight Technologies Inc,KEYS,0.065549,   97.97,-0.51,(-0.52%),0
303,Teleflex Incorporated,TFX,0.064913,   383.28,-11.86,(-3.00%),0
304,Healthpeak Properties Inc.,PEAK,0.064404,   37.12,0.3,-0.81%,0
305,Vulcan Materials Company,VMC,0.063643,   134.65,-0.75,(-0.55%),0
306,Kansas City Southern,KSU,0.062933,   175.51,-0.88,(-0.50%),0
307,Freeport-McMoRan Inc.,FCX,0.062444,   12.10,-0.01,(-0.04%),0
308,Cardinal Health Inc.,CAH,0.062277,   59.21,-0.14,(-0.24%),0
309,Cooper Companies Inc.,COO,0.062276,   355.27,-1.29,(-0.36%),0
310,United Airlines Holdings Inc.,UAL,0.06159,   79.92,0.5,-0.63%,0
