Company,Symbol,Price,Dividend
Fox Corporation Class A,FOXA,36.61,0
Varian Medical Systems Inc.,VAR,145.52,0
Jack Henry & Associates Inc.,JKHY,172.86,0
Arconic Inc.,ARNC,33.58,0
CenterPoint Energy Inc.,CNP,25.84,0
Hormel Foods Corporation,HRL,45.56,0
DENTSPLY SIRONA Inc.,XRAY,57.37,0
Wynn Resorts Limited,WYNN,132.68,0
Celanese Corporation,CE,108.48,0
Expeditors International of Washington Inc.,EXPD,75.42,0
Masco Corporation,MAS,45.25,0
Brown-Forman Corporation Class B,BF.B,71.24,0
Zebra Technologies Corporation Class A,ZBRA,240.92,0
IDEX Corporation,IEX,173.81,0
Diamondback Energy Inc.,FANG,78.59,0
MarketAxess Holdings Inc.,MKTX,340.76,0
CenturyLink Inc.,CTL,13.29,0
Take-Two Interactive Software Inc.,TTWO,114.16,0
J.M. Smucker Company,SJM,109.73,0
Raymond James Financial Inc.,RJF,101.12,0
Seagate Technology PLC,STX,54.69,0
Hasbro Inc.,HAS,97.89,0
Allegion PLC,ALLE,129.95,0
Arista Networks Inc.,ANET,226.76,0
Qorvo Inc.,QRVO,101.31,0
Host Hotels & Resorts Inc.,HST,17.02,0
Lincoln National Corporation,LNC,61.14,0
NetApp Inc.,NTAP,53.07,0
PulteGroup Inc.,PHM,46.54,0
